column,block,source_file_line,definition,grain,source_records,event_subset,window,statistic,denominator_exposure,zero_semantics,missing_semantics,asof_rule,coding_era_dependence,intended_model_families,est_compute_cost,parity_class,parity_evidence
advisory_in_last_2_tyres,B0,"autosafe/feature_engineering_v55.py:351,372",1 when either of the 2 most recent prior records carried a tyres advisory.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",advisory:tyres,last_2_tests,presence,n/a,0 = not in the 2 most recent prior records,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,the last-2-TESTS window exists only here (autosafe/feature_engineering_v55.py:372); on a multi-test day the 2-record window collapses onto one calendar day
advisory_streak_len_tyres,B0,"autosafe/feature_engineering_v55.py:351,381",Current consecutive-record tyres advisory streak.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",advisory:tyres,current_run,streak_current,consecutive most-recent prior RECORDS,0 = the most recent record carried no such advisory,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,CURRENT streak (autosafe/feature_engineering_v55.py:375-381). No longest-streak twin for advisories; b2_*_max_run (factory/blocks.py:123) is longest-run over ANY-disposition items at day grain
has_prior_advisory_suspension,B0,"autosafe/feature_engineering_v55.py:351,353",1 when any prior test carried a suspension advisory.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",advisory:suspension,lifetime,presence,n/a,0 = never,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,"3 of 5 serving components, no window variants. defect text := catalogue SECTION name (factory/runners/b0_module_runner.py:78-85; queue.txt uses --defect-text-source section on all six B0 builds); the v58 lake carries NO defect free text (DATA_ASSESSMENT s4)"
miles_since_last_advisory_suspension,B0,"autosafe/feature_engineering_v55.py:385,391,393","Nominally miles since the last suspension advisory; actually min(8000, test_mileage // n_prior_tests), else 0.",vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",advisory:suspension,lifetime,recency_miles,none,0 = no advisory OR no mileage OR mileage<=0 - three states share one value,no missing marker,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","YES: pre-2022 test_mileage is unit-ambiguous (km contamination, no unit column, docs/v58/assessment_2026_08/DATA_ASSESSMENT.md:170-172) and the runner hardcodes odometer_unit='mi' (factory/runners/b0_module_runner.py:121), so the module's km->mi branch never fires. flat4y spans 2020-2023, straddling the 2022 upstream correction",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",unsafe_ambiguous,"FABRICATED: the value is min(8000, test_mileage // n_prior_tests) (autosafe/feature_engineering_v55.py:387-393); it is not miles since anything. These 2 columns are the ONLY occupants of the recency-in-MILES axis. MEASURED flat4y/r1m n=999,999: range [0.0 .. 8000.0], NULL 0.000%"
tests_since_last_advisory_suspension,B0,"autosafe/feature_engineering_v55.py:351,361,365",Prior test records newer than the most recent suspension advisory; NaN when never.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",advisory:suspension,lifetime,recency_tests,intervening prior RECORDS,0 = advisory on the most recent prior record,"NaN when never observed (autosafe/feature_engineering_v55.py:365), correctly distinct from 0","as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,"INTERVENING-TESTS recency exists ONLY here and in the failure twin: 6 columns over 3 components. No B1-B6 category, severity or outcome has an intervening-tests recency"
advisory_in_last_1_suspension,B0,"autosafe/feature_engineering_v55.py:351,369",1 when the most recent prior test record carried a suspension advisory.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",advisory:suspension,last_1_test,presence,n/a,0 = not on the single most recent prior record,n/a,"as-of SAFE but D13-UNSAFE: the module reads tests[0] after a DATE-ONLY stable sort (autosafe/feature_engineering_v55.py:221), so the value depends on WITHIN-DAY record order, which this programme declares unidentified (FACTORY_CONTRACT.md:72-74)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",unsafe_ambiguous,the last-1-TEST window exists only here (autosafe/feature_engineering_v55.py:369) and it reads tests[:1]
advisory_in_last_2_suspension,B0,"autosafe/feature_engineering_v55.py:351,372",1 when either of the 2 most recent prior records carried a suspension advisory.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",advisory:suspension,last_2_tests,presence,n/a,0 = not in the 2 most recent prior records,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,the last-2-TESTS window exists only here (autosafe/feature_engineering_v55.py:372); on a multi-test day the 2-record window collapses onto one calendar day
advisory_streak_len_suspension,B0,"autosafe/feature_engineering_v55.py:351,381",Current consecutive-record suspension advisory streak.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",advisory:suspension,current_run,streak_current,consecutive most-recent prior RECORDS,0 = the most recent record carried no such advisory,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,CURRENT streak (autosafe/feature_engineering_v55.py:375-381). No longest-streak twin for advisories; b2_*_max_run (factory/blocks.py:123) is longest-run over ANY-disposition items at day grain
has_prior_failure_brakes,B0,"autosafe/feature_engineering_v55.py:438,459",1 when the brakes component's most recent event (walking priors newest-first) was a failure rather than an advisory.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fail:brakes,current_state,latest,n/a,"0 = the component's most recent event was an advisory, or it had none",n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,"'the component's CURRENT state is failure' (autosafe/feature_engineering_v55.py:441-459), a genuinely distinct concept from has_ever_failed_*, repaired 2026-08-08; walks records newest-first"
has_ever_failed_brakes,B0,"autosafe/feature_engineering_v55.py:438,440",1 when any prior FAILED test carried a failure-vocabulary brakes defect.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fail:brakes,lifetime,presence,n/a,0 = never,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,"3 of 5 serving components, lifetime only. defect text := catalogue SECTION name (factory/runners/b0_module_runner.py:78-85; queue.txt uses --defect-text-source section on all six B0 builds); the v58 lake carries NO defect free text (DATA_ASSESSMENT s4)"
failure_streak_len_brakes,B0,"autosafe/feature_engineering_v55.py:438,468",Consecutive most-recent prior test records carrying a brakes failure (current streak).,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fail:brakes,current_run,streak_current,consecutive most-recent prior RECORDS,0 = the most recent record carried no such failure,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,CURRENT failure streak (autosafe/feature_engineering_v55.py:462-468); no longest-streak twin
tests_since_last_failure_brakes,B0,"autosafe/feature_engineering_v55.py:438,473,476",Prior test records newer than the most recent brakes failure; NaN when never.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fail:brakes,lifetime,recency_tests,intervening prior RECORDS,0 = failure on the most recent record,NaN when never (autosafe/feature_engineering_v55.py:476),"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,the second of the two intervening-tests recency families
has_prior_failure_tyres,B0,"autosafe/feature_engineering_v55.py:438,459",1 when the tyres component's most recent event was a failure.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fail:tyres,current_state,latest,n/a,"0 = the component's most recent event was an advisory, or it had none",n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,"'the component's CURRENT state is failure' (autosafe/feature_engineering_v55.py:441-459), a genuinely distinct concept from has_ever_failed_*, repaired 2026-08-08; walks records newest-first"
has_ever_failed_tyres,B0,"autosafe/feature_engineering_v55.py:438,440",1 when any prior FAILED test carried a tyres failure.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fail:tyres,lifetime,presence,n/a,0 = never,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,"3 of 5 serving components, lifetime only. defect text := catalogue SECTION name (factory/runners/b0_module_runner.py:78-85; queue.txt uses --defect-text-source section on all six B0 builds); the v58 lake carries NO defect free text (DATA_ASSESSMENT s4)"
failure_streak_len_tyres,B0,"autosafe/feature_engineering_v55.py:438,468",Current consecutive-record tyres failure streak.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fail:tyres,current_run,streak_current,consecutive most-recent prior RECORDS,0 = the most recent record carried no such failure,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,CURRENT failure streak (autosafe/feature_engineering_v55.py:462-468); no longest-streak twin
tests_since_last_failure_tyres,B0,"autosafe/feature_engineering_v55.py:438,473,476",Prior test records newer than the most recent tyres failure; NaN when never.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fail:tyres,lifetime,recency_tests,intervening prior RECORDS,0 = failure on the most recent record,NaN when never (autosafe/feature_engineering_v55.py:476),"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,the second of the two intervening-tests recency families
has_prior_failure_suspension,B0,"autosafe/feature_engineering_v55.py:438,459",1 when the suspension component's most recent event was a failure.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fail:suspension,current_state,latest,n/a,"0 = the component's most recent event was an advisory, or it had none",n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,"'the component's CURRENT state is failure' (autosafe/feature_engineering_v55.py:441-459), a genuinely distinct concept from has_ever_failed_*, repaired 2026-08-08; walks records newest-first"
has_ever_failed_suspension,B0,"autosafe/feature_engineering_v55.py:438,440",1 when any prior FAILED test carried a suspension failure.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fail:suspension,lifetime,presence,n/a,0 = never,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,"3 of 5 serving components, lifetime only. defect text := catalogue SECTION name (factory/runners/b0_module_runner.py:78-85; queue.txt uses --defect-text-source section on all six B0 builds); the v58 lake carries NO defect free text (DATA_ASSESSMENT s4)"
failure_streak_len_suspension,B0,"autosafe/feature_engineering_v55.py:438,468",Current consecutive-record suspension failure streak.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fail:suspension,current_run,streak_current,consecutive most-recent prior RECORDS,0 = the most recent record carried no such failure,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,CURRENT failure streak (autosafe/feature_engineering_v55.py:462-468); no longest-streak twin
tests_since_last_failure_suspension,B0,"autosafe/feature_engineering_v55.py:438,473,476",Prior test records newer than the most recent suspension failure; NaN when never.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fail:suspension,lifetime,recency_tests,intervening prior RECORDS,0 = failure on the most recent record,NaN when never (autosafe/feature_engineering_v55.py:476),"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,the second of the two intervening-tests recency families
station_strictness_bias,B0,autosafe/feature_engineering_v55.py:583,Station strictness bias; the helper takes no argument and returns one value.,constant,"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",station,lifetime,rate,n/a,n/a,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)",none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",absent,"CONSTANT: get_station_strictness_bias() takes no argument (autosafe/feature_engineering_v55.py:583). MEASURED flat4y/r1m n=999,999: range [0.0 .. 0.0], NULL 0.000%"
annualized_mileage_v2,B0,"autosafe/feature_engineering_v55.py:595,606,609,612,615","Odometer difference between the two most recent priors, annualised; 10000 on every default path.",vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",mileage_reading,between_2_most_recent_priors,rate,per year across the 2 most recent priors,n/a,"in-range sentinel 10000 on every default path with no distinguishing flag (autosafe/feature_engineering_v55.py:595,609,613,615)","as-of SAFE but D13-UNSAFE: the module reads tests[0] after a DATE-ONLY stable sort (autosafe/feature_engineering_v55.py:221), so the value depends on WITHIN-DAY record order, which this programme declares unidentified (FACTORY_CONTRACT.md:72-74)","YES: pre-2022 test_mileage is unit-ambiguous (km contamination, no unit column, docs/v58/assessment_2026_08/DATA_ASSESSMENT.md:170-172) and the runner hardcodes odometer_unit='mi' (factory/runners/b0_module_runner.py:121), so the module's km->mi branch never fires. flat4y spans 2020-2023, straddling the 2022 upstream correction",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",unsafe_ambiguous,the only mileage-exposure rate in the 241; the sentinel sits inside the real distribution
mileage_anomaly_flag,B0,"autosafe/feature_engineering_v55.py:289,294",1 when the annualised odometer delta between the two most recent priors exceeds 50000.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",mileage_reading,2_most_recent_priors,presence,n/a,"0 = plausible OR absent (autosafe/feature_engineering_v55.py:289,294)",n/a,"as-of SAFE but D13-UNSAFE: the module reads tests[0] after a DATE-ONLY stable sort (autosafe/feature_engineering_v55.py:221), so the value depends on WITHIN-DAY record order, which this programme declares unidentified (FACTORY_CONTRACT.md:72-74)","YES: pre-2022 test_mileage is unit-ambiguous (km contamination, no unit column, docs/v58/assessment_2026_08/DATA_ASSESSMENT.md:170-172) and the runner hardcodes odometer_unit='mi' (factory/runners/b0_module_runner.py:121), so the module's km->mi branch never fires. flat4y spans 2020-2023, straddling the 2022 upstream correction",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,"fires on an annualised delta above 50,000; no rollback / decreasing-odometer test"
has_prev_mileage,B0,"autosafe/feature_engineering_v55.py:287,292",1 when the single most recent prior test record carries an odometer value.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",mileage_reading,latest_test,presence,n/a,0 = the MOST RECENT prior record carries no odometer; NOT 'the vehicle has no prior mileage at all',n/a,"as-of SAFE but D13-UNSAFE: the module reads tests[0] after a DATE-ONLY stable sort (autosafe/feature_engineering_v55.py:221), so the value depends on WITHIN-DAY record order, which this programme declares unidentified (FACTORY_CONTRACT.md:72-74)",none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,"the only shipped mileage-coverage indicator (autosafe/feature_engineering_v55.py:287,292); its scope is one record, not a window. AsOfState already counts n_mileage_days (factory/state.py:178) and never emits it"
mileage_plausible_flag,B0,"autosafe/feature_engineering_v55.py:288,293",1 when a mileage reading exists and was not judged anomalous.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",mileage_reading,2_most_recent_priors,presence,n/a,"0 = anomalous OR absent (autosafe/feature_engineering_v55.py:288,293); has_prev_mileage disambiguates",n/a,"as-of SAFE but D13-UNSAFE: the module reads tests[0] after a DATE-ONLY stable sort (autosafe/feature_engineering_v55.py:221), so the value depends on WITHIN-DAY record order, which this programme declares unidentified (FACTORY_CONTRACT.md:72-74)","YES: pre-2022 test_mileage is unit-ambiguous (km contamination, no unit column, docs/v58/assessment_2026_08/DATA_ASSESSMENT.md:170-172) and the runner hardcodes odometer_unit='mi' (factory/runners/b0_module_runner.py:121), so the module's km->mi branch never fires. flat4y spans 2020-2023, straddling the 2022 upstream correction",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,"an unreliable-mileage indicator, but a 2-record scope only"
local_corrosion_index,B0,autosafe/feature_engineering_v55.py:581,"Corrosion index looked up from tgt_pc, the postcode area of the station that performed the target test.",target row (station postcode area),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",geography,none,lookup,n/a,n/a,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)",none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",unsafe_ambiguous,"PROXY RISK: keyed on tgt_pc, the postcode area of the station that performed the TARGET test (factory/blocks.py:76, tagged research_only_input and not API-observable). It encodes station location - and therefore station strictness - not only climate. MEASURED flat4y/r1m n=999,999: range [0.45 .. 0.85], NULL 0.000%"
local_corrosion_delta,B0,autosafe/feature_engineering_v55.py:582,local_corrosion_index minus 0.5.,target row (station postcode area),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",geography,none,lookup,n/a,n/a,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)",none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",duplicate_redundant,exactly local_corrosion_index - 0.5 (autosafe/feature_engineering_v55.py:582)
