column,r1_class,verified_verdict,partitions_checked,evidence,file_line
suspension_risk_profile,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.0. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.",autosafe/feature_engineering_v55.py:838
text_corrosion_index,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.0. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.","autosafe/feature_engineering_v55.py:510,512"
text_corrosion_index_log,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.0. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.","autosafe/feature_engineering_v55.py:510,513"
text_damage_index,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.0. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.","autosafe/feature_engineering_v55.py:510,512"
text_damage_index_log,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.0. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.","autosafe/feature_engineering_v55.py:510,513"
text_wear_index,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.0. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.","autosafe/feature_engineering_v55.py:510,512"
text_wear_index_log,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.0. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.","autosafe/feature_engineering_v55.py:510,513"
b1_n_prior_test_days,equivalent,CONFIRMED_DUPLICATE,base_flat4y_r250k;base_flat4y_r1m;base_flat2y_r1m;base_post2018_r1m;base_eval2024,NOT FLAGGED BY R1. EXACT-EQUAL to b4_deterioration_slope_n_days on all 5 partitions (0 differing rows). Keep this one (it is the declared D13-safe depth measure and the denominator every b2_*_persistence divides by); drop the B4 twin.,factory/blocks.py:86 vs factory/blocks.py:174
b1_n_prior_tests,duplicate_redundant,CONFIRMED_DUPLICATE,base_flat4y_r250k;base_flat4y_r1m;base_flat2y_r1m;base_post2018_r1m;base_eval2024,"EXACT-EQUAL to n_prior_tests (identity, cross-frame): 0 differing rows under NULL-safe IS DISTINCT FROM. Measured on b0_flat4y_eb (n=999,999), b0_eval2024_eb (n=330,665) and pre-EB b0_flat4y (n=999,999).",factory/blocks.py:87; emitter factory/blocks.py:271-325
b4_burden_x_age,duplicate_redundant,CONFIRMED_DUPLICATE,base_flat4y_r250k;base_flat4y_r1m;base_flat2y_r1m;base_post2018_r1m;base_eval2024,"Not identity, but an EXACT deterministic function of fed columns: b4_burden_mean_last3*b1_age_at_target_years (exact, 0 differing rows both partitions). Verified on b0_flat4y_eb n=999,999 and b0_eval2024_eb n=330,665.",factory/blocks.py:170; emitter factory/blocks.py:384-407
b4_deterioration_slope_n_days,equivalent,CONFIRMED_DUPLICATE,base_flat4y_r250k;base_flat4y_r1m;base_flat2y_r1m;base_post2018_r1m;base_eval2024,"NOT FLAGGED BY R1 (both this and b1_n_prior_test_days classified 'equivalent' = usable). EXACT-EQUAL to b1_n_prior_test_days: 0 differing rows on flat4y_r1m (n=999,999), flat4y_r250k (249,998), post2018_r1m (1,375,079), eval2024 (330,665) and fullpop (1,004,208). Both are the count of prior test-days, so the slope's 'honest denominator' is the depth measure itself.",factory/blocks.py:86 vs factory/blocks.py:174
brake_system_stress,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Not identity, but an EXACT deterministic function of fed columns: prev_adv_brakes+ln(1+n_prior_tests)/3 (exact, 0 differing rows). Verified on b0_flat4y_eb n=999,999 and b0_eval2024_eb n=330,665.",autosafe/feature_engineering_v55.py:797
commercial_wear_proxy,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Not identity, but an EXACT deterministic function of fed columns: ln(1+annualized_mileage_v2/1e4)+overdue/365+ln(1+n_prior_tests)/3 (equal to 1e-9; 165,255 bitwise diffs are float-assoc only, maxabs=0.0). Verified on b0_flat4y_eb n=999,999 and b0_eval2024_eb n=330,665.",autosafe/feature_engineering_v55.py:804
days_since_pass_ratio,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Not identity, but an EXACT deterministic function of fed columns: days_since_last_test/365.0 (exact affine, 0 differing rows). Verified on b0_flat4y_eb n=999,999 and b0_eval2024_eb n=330,665.",autosafe/feature_engineering_v55.py:669
eb_unified_prior,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"EXACT-EQUAL to model_age_fail_rate_eb (identity): 0 differing rows under NULL-safe IS DISTINCT FROM. Measured on b0_flat4y_eb (n=999,999), b0_eval2024_eb (n=330,665) and pre-EB b0_flat4y (n=999,999).","autosafe/feature_engineering_v55.py:725,755,759"
front_end_advisory_intensity,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Not identity, but an EXACT deterministic function of fed columns: prev_adv_steering+prev_adv_suspension+prev_adv_tyres (exact, 0 differing rows). Verified on b0_flat4y_eb n=999,999 and b0_eval2024_eb n=330,665. ALSO constant on b0_train_fullpop (nd=1) but VARIES on b0_train_flat4y/post2018 AND on b0_eval2024. Root cause: queue.txt:167 builds frames_fullpop with --defect-detail counts -> build.py:112 -> emit.py:549 include_defects=False -> packets.py:163 writes defects_json=NULL for all 5,560,040 prior rows (measured: 0 non-null). Its paired eval frame b0_eval2024_eb_fullpop DOES carry defects. TRAIN/SERVE SKEW for cell s2.D.confirm.final.",autosafe/feature_engineering_v55.py:787
has_advisory_history,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Not identity, but an EXACT deterministic function of fed columns: indicator prev_count_advisory>0 (exact, 0 differing rows). Verified on b0_flat4y_eb n=999,999 and b0_eval2024_eb n=330,665. ALSO constant on b0_train_fullpop (nd=1) but VARIES on b0_train_flat4y/post2018 AND on b0_eval2024. Root cause: queue.txt:167 builds frames_fullpop with --defect-detail counts -> build.py:112 -> emit.py:549 include_defects=False -> packets.py:163 writes defects_json=NULL for all 5,560,040 prior rows (measured: 0 non-null). Its paired eval frame b0_eval2024_eb_fullpop DOES carry defects. TRAIN/SERVE SKEW for cell s2.D.confirm.final.",autosafe/feature_engineering_v55.py:519
local_corrosion_delta,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Not identity, but an EXACT deterministic function of fed columns: local_corrosion_index-0.5 (exact affine, 0 differing rows). Verified on b0_flat4y_eb n=999,999 and b0_eval2024_eb n=330,665.",autosafe/feature_engineering_v55.py:582
max_severity_score,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Not identity, but an EXACT deterministic function of fed columns: 2 if n_prior_fails>0 else 1 if prev_count_advisory>0 else 0 (exact, 0 differing rows). Verified on b0_flat4y_eb n=999,999 and b0_eval2024_eb n=330,665.",autosafe/feature_engineering_v55.py:532
mdps_score,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Not identity, but an EXACT deterministic function of fed columns: days_late/365.0 (exact affine, 0 differing rows). Verified on b0_flat4y_eb n=999,999 and b0_eval2024_eb n=330,665.",autosafe/feature_engineering_v55.py:807
mech_decay_brake,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Not identity, but an EXACT deterministic function of fed columns: LEAST(prev_adv_brakes*0.2,1.0) (exact, 0 differing rows; saturating => many-to-one). Verified on b0_flat4y_eb n=999,999 and b0_eval2024_eb n=330,665. ALSO constant on b0_train_fullpop (nd=1) but VARIES on b0_train_flat4y/post2018 AND on b0_eval2024. Root cause: queue.txt:167 builds frames_fullpop with --defect-detail counts -> build.py:112 -> emit.py:549 include_defects=False -> packets.py:163 writes defects_json=NULL for all 5,560,040 prior rows (measured: 0 non-null). Its paired eval frame b0_eval2024_eb_fullpop DOES carry defects. TRAIN/SERVE SKEW for cell s2.D.confirm.final.",autosafe/feature_engineering_v55.py:539
mech_decay_index,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Not identity, but an EXACT deterministic function of fed columns: GREATEST of the 4 mech_decay_* (exact, 0 differing rows). Verified on b0_flat4y_eb n=999,999 and b0_eval2024_eb n=330,665. ALSO constant on b0_train_fullpop (nd=1) but VARIES on b0_train_flat4y/post2018 AND on b0_eval2024. Root cause: queue.txt:167 builds frames_fullpop with --defect-detail counts -> build.py:112 -> emit.py:549 include_defects=False -> packets.py:163 writes defects_json=NULL for all 5,560,040 prior rows (measured: 0 non-null). Its paired eval frame b0_eval2024_eb_fullpop DOES carry defects. TRAIN/SERVE SKEW for cell s2.D.confirm.final.","autosafe/feature_engineering_v55.py:547,567"
mech_decay_index_normalized,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"EXACT-EQUAL to mech_decay_index (identity): 0 differing rows under NULL-safe IS DISTINCT FROM. Measured on b0_flat4y_eb (n=999,999), b0_eval2024_eb (n=330,665) and pre-EB b0_flat4y (n=999,999). ALSO constant on b0_train_fullpop (nd=1) but VARIES on b0_train_flat4y/post2018 AND on b0_eval2024. Root cause: queue.txt:167 builds frames_fullpop with --defect-detail counts -> build.py:112 -> emit.py:549 include_defects=False -> packets.py:163 writes defects_json=NULL for all 5,560,040 prior rows (measured: 0 non-null). Its paired eval frame b0_eval2024_eb_fullpop DOES carry defects. TRAIN/SERVE SKEW for cell s2.D.confirm.final.","autosafe/feature_engineering_v55.py:558,561,564"
mech_decay_steering,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Not identity, but an EXACT deterministic function of fed columns: LEAST(prev_adv_steering*0.2,1.0) (exact, 0 differing rows). Verified on b0_flat4y_eb n=999,999 and b0_eval2024_eb n=330,665. ALSO constant on b0_train_fullpop (nd=1) but VARIES on b0_train_flat4y/post2018 AND on b0_eval2024. Root cause: queue.txt:167 builds frames_fullpop with --defect-detail counts -> build.py:112 -> emit.py:549 include_defects=False -> packets.py:163 writes defects_json=NULL for all 5,560,040 prior rows (measured: 0 non-null). Its paired eval frame b0_eval2024_eb_fullpop DOES carry defects. TRAIN/SERVE SKEW for cell s2.D.confirm.final.",autosafe/feature_engineering_v55.py:542
mech_decay_suspension,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Not identity, but an EXACT deterministic function of fed columns: LEAST(prev_adv_suspension*0.2,1.0) (exact, 0 differing rows). Verified on b0_flat4y_eb n=999,999 and b0_eval2024_eb n=330,665. ALSO constant on b0_train_fullpop (nd=1) but VARIES on b0_train_flat4y/post2018 AND on b0_eval2024. Root cause: queue.txt:167 builds frames_fullpop with --defect-detail counts -> build.py:112 -> emit.py:549 include_defects=False -> packets.py:163 writes defects_json=NULL for all 5,560,040 prior rows (measured: 0 non-null). Its paired eval frame b0_eval2024_eb_fullpop DOES carry defects. TRAIN/SERVE SKEW for cell s2.D.confirm.final.",autosafe/feature_engineering_v55.py:540
mech_risk_driver,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Not identity, but an EXACT deterministic function of fed columns: argmax label over the 4 mech_decay_* (exact function of fed columns). Verified on b0_flat4y_eb n=999,999 and b0_eval2024_eb n=330,665. ALSO constant on b0_train_fullpop (nd=1) but VARIES on b0_train_flat4y/post2018 AND on b0_eval2024. Root cause: queue.txt:167 builds frames_fullpop with --defect-detail counts -> build.py:112 -> emit.py:549 include_defects=False -> packets.py:163 writes defects_json=NULL for all 5,560,040 prior rows (measured: 0 non-null). Its paired eval frame b0_eval2024_eb_fullpop DOES carry defects. TRAIN/SERVE SKEW for cell s2.D.confirm.final.","autosafe/feature_engineering_v55.py:568,570,572,574,576"
n_prior_tests,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"EXACT-EQUAL to b1_n_prior_tests (identity, cross-frame): 0 differing rows under NULL-safe IS DISTINCT FROM. Measured on b0_flat4y_eb (n=999,999), b0_eval2024_eb (n=330,665) and pre-EB b0_flat4y (n=999,999).",autosafe/feature_engineering_v55.py:400
raw_behavioral_count,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"EXACT-EQUAL to prev_count_advisory (identity): 0 differing rows under NULL-safe IS DISTINCT FROM. Measured on b0_flat4y_eb (n=999,999), b0_eval2024_eb (n=330,665) and pre-EB b0_flat4y (n=999,999). ALSO constant on b0_train_fullpop (nd=1) but VARIES on b0_train_flat4y/post2018 AND on b0_eval2024. Root cause: queue.txt:167 builds frames_fullpop with --defect-detail counts -> build.py:112 -> emit.py:549 include_defects=False -> packets.py:163 writes defects_json=NULL for all 5,560,040 prior rows (measured: 0 non-null). Its paired eval frame b0_eval2024_eb_fullpop DOES carry defects. TRAIN/SERVE SKEW for cell s2.D.confirm.final.",autosafe/feature_engineering_v55.py:831
recent_fail_intensity,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"EXACT-EQUAL to fails_last_365d (identity): 0 differing rows under NULL-safe IS DISTINCT FROM. Measured on b0_flat4y_eb (n=999,999), b0_eval2024_eb (n=330,665) and pre-EB b0_flat4y (n=999,999).",autosafe/feature_engineering_v55.py:422
severity_escalation_flag,duplicate_redundant,CONFIRMED_DUPLICATE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Not identity, but an EXACT deterministic function of fed columns: indicator fail_rate_trend>0 (exact, 0 differing rows). Verified on b0_flat4y_eb n=999,999 and b0_eval2024_eb n=330,665.",autosafe/feature_engineering_v55.py:533
advisory_in_last_1_brakes,unsafe_ambiguous,CONFIRMED_UNSAFE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Reads tests[:1] i.e. tests[0] (feature_engineering_v55.py:368-369). D13: feature_engineering_v55.py:221 sorts priors with a DATE-ONLY key (sorted(tests, key=lambda t: t.test_date, reverse=True)); Python's sort is stable so ties keep packet order, which the programme declares unidentified (FACTORY_CONTRACT.md:72-74). MEASURED tie exposure: 9.415% of flat4y targets with priors (86,955/923,605), 8.833% of eval2024 (27,572/312,159), 9.662% of post2018. ALSO constant on b0_train_fullpop (nd=1) but VARIES on b0_train_flat4y/post2018 AND on b0_eval2024. Root cause: queue.txt:167 builds frames_fullpop with --defect-detail counts -> build.py:112 -> emit.py:549 include_defects=False -> packets.py:163 writes defects_json=NULL for all 5,560,040 prior rows (measured: 0 non-null). Its paired eval frame b0_eval2024_eb_fullpop DOES carry defects. TRAIN/SERVE SKEW for cell s2.D.confirm.final.","autosafe/feature_engineering_v55.py:351,368-369"
advisory_in_last_1_suspension,unsafe_ambiguous,CONFIRMED_UNSAFE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Reads tests[:1] i.e. tests[0] (feature_engineering_v55.py:368-369). D13: feature_engineering_v55.py:221 sorts priors with a DATE-ONLY key (sorted(tests, key=lambda t: t.test_date, reverse=True)); Python's sort is stable so ties keep packet order, which the programme declares unidentified (FACTORY_CONTRACT.md:72-74). MEASURED tie exposure: 9.415% of flat4y targets with priors (86,955/923,605), 8.833% of eval2024 (27,572/312,159), 9.662% of post2018. ALSO constant on b0_train_fullpop (nd=1) but VARIES on b0_train_flat4y/post2018 AND on b0_eval2024. Root cause: queue.txt:167 builds frames_fullpop with --defect-detail counts -> build.py:112 -> emit.py:549 include_defects=False -> packets.py:163 writes defects_json=NULL for all 5,560,040 prior rows (measured: 0 non-null). Its paired eval frame b0_eval2024_eb_fullpop DOES carry defects. TRAIN/SERVE SKEW for cell s2.D.confirm.final.","autosafe/feature_engineering_v55.py:351,368-369"
advisory_in_last_1_tyres,unsafe_ambiguous,CONFIRMED_UNSAFE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"Reads tests[:1] i.e. tests[0] (feature_engineering_v55.py:368-369). D13: feature_engineering_v55.py:221 sorts priors with a DATE-ONLY key (sorted(tests, key=lambda t: t.test_date, reverse=True)); Python's sort is stable so ties keep packet order, which the programme declares unidentified (FACTORY_CONTRACT.md:72-74). MEASURED tie exposure: 9.415% of flat4y targets with priors (86,955/923,605), 8.833% of eval2024 (27,572/312,159), 9.662% of post2018. ALSO constant on b0_train_fullpop (nd=1) but VARIES on b0_train_flat4y/post2018 AND on b0_eval2024. Root cause: queue.txt:167 builds frames_fullpop with --defect-detail counts -> build.py:112 -> emit.py:549 include_defects=False -> packets.py:163 writes defects_json=NULL for all 5,560,040 prior rows (measured: 0 non-null). Its paired eval frame b0_eval2024_eb_fullpop DOES carry defects. TRAIN/SERVE SKEW for cell s2.D.confirm.final.","autosafe/feature_engineering_v55.py:351,368-369"
advisory_trend,unsafe_ambiguous,CONFIRMED_UNSAFE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"D13: feature_engineering_v55.py:221 sorts priors with a DATE-ONLY key (sorted(tests, key=lambda t: t.test_date, reverse=True)); Python's sort is stable so ties keep packet order, which the programme declares unidentified (FACTORY_CONTRACT.md:72-74). MEASURED tie exposure: 9.415% of flat4y targets with priors (86,955/923,605), 8.833% of eval2024 (27,572/312,159), 9.662% of post2018. Reads tests[0] AND tests[1] (FE:327-328). ALSO constant on b0_train_fullpop (nd=1) but VARIES on b0_train_flat4y/post2018 AND on b0_eval2024. Root cause: queue.txt:167 builds frames_fullpop with --defect-detail counts -> build.py:112 -> emit.py:549 include_defects=False -> packets.py:163 writes defects_json=NULL for all 5,560,040 prior rows (measured: 0 non-null). Its paired eval frame b0_eval2024_eb_fullpop DOES carry defects. TRAIN/SERVE SKEW for cell s2.D.confirm.final.","autosafe/feature_engineering_v55.py:330,332,334,336"
annualized_mileage_v2,unsafe_ambiguous,CONFIRMED_UNSAFE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"D13: feature_engineering_v55.py:221 sorts priors with a DATE-ONLY key (sorted(tests, key=lambda t: t.test_date, reverse=True)); Python's sort is stable so ties keep packet order, which the programme declares unidentified (FACTORY_CONTRACT.md:72-74). MEASURED tie exposure: 9.415% of flat4y targets with priors (86,955/923,605), 8.833% of eval2024 (27,572/312,159), 9.662% of post2018. PLUS in-range sentinel: =10000 on 29.4161% of flat4y and 23.8456% of eval2024 rows, with no distinguishing flag. PLUS b0_module_runner.py:121 hardcodes odometer_unit=""mi"" for every prior, so the module's km->mi branch (feature_engineering_v55.py:268-270, :101) never fires. Unit share is NOT MEASURABLE: neither the lake results table nor the packets carry an odometer unit column (verified: lake results schema has test_mileage only). MEASURED exposure instead: 73.221% of flat4y training targets take their reading from a pre-2022-01-01 prior vs 0.474% at eval2024 -- a 154x train/eval asymmetry across DVSA's correction boundary (DATA_ASSESSMENT.md:170-172).","autosafe/feature_engineering_v55.py:595,606,609,612,615"
b4_burden_x_mileage_band_ord,unsafe_ambiguous,CONFIRMED_UNSAFE,base_flat4y_r250k;base_flat4y_r1m;base_flat2y_r1m;base_post2018_r1m;base_eval2024,"Era/unit-dependent BAND ASSIGNMENT. FEATURE_DICTIONARY.md:237 claims 'unit-robust'; that claim is correct only about MIXING (one reading is used) -- the band boundary itself is unit-dependent, so an 80,000 km reading bands as 60k-100k instead of 30k-60k. b0_module_runner.py:121 hardcodes odometer_unit=""mi"" for every prior, so the module's km->mi branch (feature_engineering_v55.py:268-270, :101) never fires. Unit share is NOT MEASURABLE: neither the lake results table nor the packets carry an odometer unit column (verified: lake results schema has test_mileage only). MEASURED exposure instead: 73.221% of flat4y training targets take their reading from a pre-2022-01-01 prior vs 0.474% at eval2024 -- a 154x train/eval asymmetry across DVSA's correction boundary (DATA_ASSESSMENT.md:170-172).",factory/blocks.py:171-172; emitter factory/blocks.py:384-407
b4_mileage_band,unsafe_ambiguous,CONFIRMED_UNSAFE,base_flat4y_r250k;base_flat4y_r1m;base_flat2y_r1m;base_post2018_r1m;base_eval2024,"Era/unit-dependent BAND ASSIGNMENT. FEATURE_DICTIONARY.md:237 claims 'unit-robust'; that claim is correct only about MIXING (one reading is used) -- the band boundary itself is unit-dependent, so an 80,000 km reading bands as 60k-100k instead of 30k-60k. b0_module_runner.py:121 hardcodes odometer_unit=""mi"" for every prior, so the module's km->mi branch (feature_engineering_v55.py:268-270, :101) never fires. Unit share is NOT MEASURABLE: neither the lake results table nor the packets carry an odometer unit column (verified: lake results schema has test_mileage only). MEASURED exposure instead: 73.221% of flat4y training targets take their reading from a pre-2022-01-01 prior vs 0.474% at eval2024 -- a 154x train/eval asymmetry across DVSA's correction boundary (DATA_ASSESSMENT.md:170-172).",factory/blocks.py:171-172; emitter factory/blocks.py:384-407
day_of_week,unsafe_ambiguous,CONFIRMED_UNSAFE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"D13: feature_engineering_v55.py:221 sorts priors with a DATE-ONLY key (sorted(tests, key=lambda t: t.test_date, reverse=True)); Python's sort is stable so ties keep packet order, which the programme declares unidentified (FACTORY_CONTRACT.md:72-74). MEASURED tie exposure: 9.415% of flat4y targets with priors (86,955/923,605), 8.833% of eval2024 (27,572/312,159), 9.662% of post2018. SEMANTIC DEFECT additional to D13: these are the month/weekday of the LATEST PRIOR test (latest_test = tests[0], FE:224,230-232), not of the target test being predicted; prediction_date is used only when there are no priors.","autosafe/feature_engineering_v55.py:232,236"
days_late,unsafe_ambiguous,CONFIRMED_UNSAFE,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"D13: feature_engineering_v55.py:221 sorts priors with a DATE-ONLY key (sorted(tests, key=lambda t: t.test_date, reverse=True)); Python's sort is stable so ties keep packet order, which the programme declares unidentified (FACTORY_CONTRACT.md:72-74). MEASURED tie exposure: 9.415% of flat4y targets with priors (86,955/923,605), 8.833% of eval2024 (27,572/312,159), 9.662% of post2018. PLUS the expiry it measures against is SYNTHESISED as p_date+365d for PASSED priors only (b0_module_runner.py:116-118); the substrate has no expiry field. MEASURED days_late=0 on 60.1427% of flat4y and 61.0028% of eval2024 rows, conflating 'on time' / 'no priors' / 'latest prior failed'.","autosafe/feature_engineering_v55.py:621,623"
